Emotion,Statement
anger,elder brother often criticizes mother s cooking impolitely lost temper made u sad angry scolded him asked interfere buisness
anger,present boyfriend s mother approached parent self leave son alone want future daughter in law
sadness,grandmother died funeral
fear,went home alone restaurant dark went fast behind me drunk men shouted me chance met friend accompanied me
guilt,came across blind man sitting one corridor asking money though money give anything
disgust,felt disgust friend done great effort organize evening together work out put blame me this feel disgust towards blame me
shame,someone know caught adultery situation
fear,slept first time alone house live now man phoned am wanted something me afraid
anger,occasion assignment task responsibility assignment dispropotionately carried high responsibility low ability organisation resolution
shame,remember once friend co operate due unavoidable reason unaware treated unjustly till realized everything felt ashamad deed
guilt,death girl disliked
fear,father drinking feared went bed night
sadness,got separated man loved much
joy,study tour got confirmed happy time till tour began
sadness,second time went entrance exam v s p get approved
disgust,still child saw horror film tv rotten human skull
anger,unfair punishment
fear,meeting new unpleasant people new demanding situation
guilt,went pub group friend not close one girl time girl group wanted me stopped talking girl with
anger,locked room room mate s friend
guilt,quarelled friend mine later realized also fault
shame,received letter girlfriend telling engaged another man
fear,close relative s life danger
sadness,finished relation four year leading much sorrow one although best solution
joy,got touch earlier friend long absence
fear,watching horror film
fear,first day back job
guilt,looking cousin s little daughter fell down slightly injured cried vociferously
sadness,succeed enter university felt college entrance course sistem prejudiced me integrity effort corresponded
guilt,stole c mother s purse choo choo bar
disgust,saw big spider close
guilt,confronting person stood up blew said wrong thing
guilt,complained colleague manager told someone complained colleague came believing liked her
joy,cambridge result came obtained first division thinking done well
